,coord,weather,base,main,visibility,wind,clouds,dt,sys,timezone,id,name,cod,snow,rain,message
37,,,,,,,,,,,,,404,,,city not found
38,"{'lon': -50.01, 'lat': -24.79}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,"{'temp': 297.08, 'feels_like': 295.07, 'temp_min': 297.08, 'temp_max': 297.08, 'pressure': 1015, 'humidity': 30, 'sea_level': 1015, 'grnd_level': 906}",,"{'speed': 1.35, 'deg': 244}",{'all': 23},1586710809.0,"{'country': 'BR', 'sunrise': 1586684001, 'sunset': 1586725655}",-10800.0,3466704.0,Castro,200,,,
39,"{'lon': -152.41, 'lat': 57.79}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}, {'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50d'}]",stations,"{'temp': 277.15, 'feels_like': 271.12, 'temp_min': 277.15, 'temp_max': 277.15, 'pressure': 1017, 'humidity': 86}",4828.0,"{'speed': 6.2, 'deg': 300}",{'all': 90},1586710794.0,"{'type': 1, 'id': 7668, 'country': 'US', 'sunrise': 1586703910, 'sunset': 1586754889}",-28800.0,5866583.0,Saint Paul Harbor,200,,{'1h': 0.25},
40,"{'lon': 91.82, 'lat': 56.17}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 272.15, 'feels_like': 268.63, 'temp_min': 272.15, 'temp_max': 272.15, 'pressure': 1023, 'humidity': 63}",10000.0,"{'speed': 1, 'deg': 190}",{'all': 0},1586711029.0,"{'type': 1, 'id': 8957, 'country': 'RU', 'sunrise': 1586731878, 'sunset': 1586782481}",25200.0,1538641.0,Kedrovyy,200,,,
41,"{'lon': -74.17, 'lat': 40.74}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 287.68, 'feels_like': 282.34, 'temp_min': 284.82, 'temp_max': 290.37, 'pressure': 1022, 'humidity': 41}",16093.0,"{'speed': 5.1, 'deg': 130}",{'all': 75},1586710658.0,"{'type': 1, 'id': 4026, 'country': 'US', 'sunrise': 1586686890, 'sunset': 1586734361}",-14400.0,5101798.0,Newark,200,,,
42,"{'lon': 102.27, 'lat': -3.8}","[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",stations,"{'temp': 299.37, 'feels_like': 303.56, 'temp_min': 299.37, 'temp_max': 299.37, 'pressure': 1011, 'humidity': 81, 'sea_level': 1011, 'grnd_level': 1008}",,"{'speed': 1.26, 'deg': 77}",{'all': 100},1586710780.0,"{'country': 'ID', 'sunrise': 1586733016, 'sunset': 1586776328}",25200.0,1649150.0,Bengkulu,200,,{'3h': 5.39},
43,"{'lon': -126.83, 'lat': 65.28}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,"{'temp': 266.15, 'feels_like': 258.55, 'temp_min': 266.15, 'temp_max': 266.15, 'pressure': 1026, 'humidity': 62}",48279.0,"{'speed': 6.2, 'deg': 110}",{'all': 20},1586710777.0,"{'type': 1, 'id': 951, 'country': 'CA', 'sunrise': 1586696327, 'sunset': 1586750197}",-21600.0,6089245.0,Norman Wells,200,,,
44,"{'lon': 73.08, 'lat': -0.6}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,"{'temp': 302.79, 'feels_like': 305.78, 'temp_min': 302.79, 'temp_max': 302.79, 'pressure': 1011, 'humidity': 68, 'sea_level': 1011, 'grnd_level': 1011}",,"{'speed': 3.3, 'deg': 331}",{'all': 25},1586710583.0,"{'country': 'MV', 'sunrise': 1586653512, 'sunset': 1586697071}",18000.0,1282256.0,Hithadhoo,200,,,
45,"{'lon': 110.25, 'lat': -7.94}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 298.92, 'feels_like': 302.06, 'temp_min': 298.92, 'temp_max': 298.92, 'pressure': 1010, 'humidity': 79, 'sea_level': 1010, 'grnd_level': 1008}",,"{'speed': 2.11, 'deg': 86}",{'all': 69},1586711029.0,"{'country': 'ID', 'sunrise': 1586731261, 'sunset': 1586774254}",25200.0,1626493.0,Srandakan,200,,,
46,"{'lon': 114.08, 'lat': 71.92}","[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13n'}]",stations,"{'temp': 265.14, 'feels_like': 254.83, 'temp_min': 265.14, 'temp_max': 265.14, 'pressure': 1007, 'humidity': 95, 'sea_level': 1007, 'grnd_level': 1006}",,"{'speed': 10.51, 'deg': 296}",{'all': 75},1586710779.0,"{'country': 'RU', 'sunrise': 1586722429, 'sunset': 1586781248}",32400.0,2017155.0,Saskylakh,200,{'3h': 0.24},,
